state,telecom_circle,provider,year,month,wireless_subscribers,wireline_subscribers,vlr_proportion
Andaman And Nicobar Islands,West Bengal,BSNL,2021,4,10519.484024974,825.196761253,0.30003555158
Andaman And Nicobar Islands,West Bengal,Bharti Airtel,2021,4,,,0.41070305019
Andaman And Nicobar Islands,West Bengal,Bharti Airtel,2021,4,63343.164118862,,
Andaman And Nicobar Islands,West Bengal,Reliance Communications,2021,4,3.765912271,0.053621971,0.08447522816
Andaman And Nicobar Islands,West Bengal,Reliance Jio,2021,4,90230.053581196,258.008300617,0.36302074367
Andaman And Nicobar Islands,West Bengal,Tata Teleservices,2021,4,,9.573584207,
Andaman And Nicobar Islands,West Bengal,Vodafone Idea,2021,4,69992.886614077,0.49497204,0.40558833911
Andhra Pradesh,Andhra Pradesh,BSNL,2021,4,5631938.22889713,325552.928214694,57.63
Andhra Pradesh,Andhra Pradesh,Bharti Airtel,2021,4,,,96.33
Andhra Pradesh,Andhra Pradesh,Bharti Airtel,2021,4,,157739.082821739,
Andhra Pradesh,Andhra Pradesh,Bharti Airtel,2021,4,18357297.0948107,,
Andhra Pradesh,Andhra Pradesh,Reliance Communications,2021,4,593.77091486166,12888.8732940701,109.48
Andhra Pradesh,Andhra Pradesh,Reliance Jio,2021,4,18815793.1621044,223353.406593238,78.95
Andhra Pradesh,Andhra Pradesh,Tata Teleservices,2021,4,,93061.4282723012,
Andhra Pradesh,Andhra Pradesh,Vodafone Idea,2021,4,9136642.62554688,32929.9605102942,90.13
Arunachal Pradesh,North East,BSNL,2021,4,40896.503782444,2001.395712348,1.98827557249
Arunachal Pradesh,North East,Bharti Airtel,2021,4,,,3.15276356173
Arunachal Pradesh,North East,Bharti Airtel,2021,4,164303.571903208,,
Arunachal Pradesh,North East,Reliance Communications,2021,4,0.0,,
Arunachal Pradesh,North East,Reliance Jio,2021,4,130255.206742637,1167.662216625,2.599843382
Arunachal Pradesh,North East,Vodafone Idea,2021,4,41608.649253953,9.97614321,2.63370180744
Assam,Assam,BSNL,2021,4,3048464.0,81482.0,46.26
Assam,Assam,Bharti Airtel,2021,4,,,99.95
Assam,Assam,Bharti Airtel,2021,4,9379532.0,,
Assam,Assam,Reliance Jio,2021,4,9384721.0,51096.0,75.84
Assam,Assam,Vodafone Idea,2021,4,3165463.0,3420.0,91.19
Assam,North East,BSNL,2021,4,922291.013614212,45135.136490004,44.83925332227
Assam,North East,Bharti Airtel,2021,4,,,71.10058885479
Assam,North East,Bharti Airtel,2021,4,3705346.27304978,,
Assam,North East,Reliance Communications,2021,4,0.0,,
Assam,North East,Reliance Jio,2021,4,2937493.31958215,26332.920169875,58.631226786
Assam,North East,Vodafone Idea,2021,4,938351.197444419,224.98028883,59.39479625112
Bihar,Bihar,BSNL,2021,4,4363932.85598552,98456.169057552,37.19367526716
Bihar,Bihar,Bharti Airtel,2021,4,,,76.8097234233
Bihar,Bihar,Bharti Airtel,2021,4,27443152.0642704,,
Bihar,Bihar,Reliance Communications,2021,4,116.942139468,14.427926298,82.6188621696
Bihar,Bihar,Reliance Jio,2021,4,24804153.733665,84597.766166052,70.43865491592
Bihar,Bihar,Tata Teleservices,2021,4,,5684.602961412,
Bihar,Bihar,Vodafone Idea,2021,4,9117972.53940362,1321.29430308,64.83454459596
Chandigarh,Punjab,BSNL,2021,4,205793.400985938,8009.738268068,1.52877596806
Chandigarh,Punjab,Bharti Airtel,2021,4,,,3.65858427768
Chandigarh,Punjab,Bharti Airtel,2021,4,,5700.202369628,
Chandigarh,Punjab,Bharti Airtel,2021,4,421201.172892759,,
Chandigarh,Punjab,HFCL Infotel,2021,4,,7723.847702694,
Chandigarh,Punjab,Reliance Communications,2021,4,12.333532917,72.327620764,1.41671909082
Chandigarh,Punjab,Reliance Jio,2021,4,474023.038482751,3648.178996222,2.36010702161
Chandigarh,Punjab,Tata Teleservices,2021,4,,455.103726427,
Chandigarh,Punjab,Vodafone Idea,2021,4,317272.166609268,79.131074025,3.25474293438
Chhattisgarh,Madhya Pradesh,BSNL,2021,4,1615938.70558202,64247.318627525,11.4647898145
Chhattisgarh,Madhya Pradesh,Bharti Airtel,2021,4,,,24.94099191375
Chhattisgarh,Madhya Pradesh,Bharti Airtel,2021,4,,71012.741577525,
Chhattisgarh,Madhya Pradesh,Bharti Airtel,2021,4,4023509.4384694,,
Chhattisgarh,Madhya Pradesh,Reliance Communications,2021,4,89.5117498,1.301042875,25.5680945795
Chhattisgarh,Madhya Pradesh,Reliance Jio,2021,4,9120925.42661273,49153.660026075,22.41696873625
Chhattisgarh,Madhya Pradesh,Tata Teleservices,2021,4,,2951.025449075,
Chhattisgarh,Madhya Pradesh,Vodafone Idea,2021,4,5589709.53514875,614.092237,22.409162479
Delhi,Delhi,Bharti Airtel,2021,4,,,88.36
Delhi,Delhi,Bharti Airtel,2021,4,,1566713.0,
Delhi,Delhi,Bharti Airtel,2021,4,16341350.0,,
Delhi,Delhi,MTNL,2021,4,2160448.0,1316203.0,12.19
Delhi,Delhi,Reliance Communications,2021,4,443.0,33359.0,78.76
Delhi,Delhi,Reliance Jio,2021,4,19911558.0,436986.0,64.38
Delhi,Delhi,Tata Teleservices,2021,4,,137638.0,
Delhi,Delhi,Vodafone Idea,2021,4,16132680.0,86309.0,74.72
Gujarat,Gujarat,BSNL,2021,4,5839295.07805792,441552.888778452,51.13342121436
Gujarat,Gujarat,Bharti Airtel,2021,4,,,94.1358064386
Gujarat,Gujarat,Bharti Airtel,2021,4,,123301.565132028,
Gujarat,Gujarat,Bharti Airtel,2021,4,12052774.2920129,,
Gujarat,Gujarat,Reliance Communications,2021,4,191.143720596,4147.719698736,78.00248411472
Gujarat,Gujarat,Reliance Jio,2021,4,26256707.7463085,242109.767257092,75.38787570864
Gujarat,Gujarat,Tata Teleservices,2021,4,,78801.722366124,
Gujarat,Gujarat,Vodafone Idea,2021,4,24930409.0074275,39293.4047391,90.13466327172
Haryana,Haryana,BSNL,2021,4,5013897.0,123560.0,36.03
Haryana,Haryana,Bharti Airtel,2021,4,,,105.89
Haryana,Haryana,Bharti Airtel,2021,4,,31932.0,
Haryana,Haryana,Bharti Airtel,2021,4,5578327.0,,
Haryana,Haryana,Reliance Communications,2021,4,72.0,2.0,79.17
Haryana,Haryana,Reliance Jio,2021,4,9193650.0,39178.0,67.36
Haryana,Haryana,Tata Teleservices,2021,4,,35126.0,
Haryana,Haryana,Vodafone Idea,2021,4,8241187.0,360.0,89.66
Haryana,Punjab,BSNL,2021,4,41210.34843753,1603.95864658,0.3061390211
Haryana,Punjab,Bharti Airtel,2021,4,,,0.7326354108
Haryana,Punjab,Bharti Airtel,2021,4,,1141.47161518,
Haryana,Punjab,Bharti Airtel,2021,4,84345.984924915,,
Haryana,Punjab,HFCL Infotel,2021,4,,1546.70875539,
Haryana,Punjab,Reliance Communications,2021,4,2.469803145,14.48368334,0.2836995117
Haryana,Punjab,Reliance Jio,2021,4,94923.619949435,730.55174207,0.47261395285
Haryana,Punjab,Tata Teleservices,2021,4,,91.135007495,
Haryana,Punjab,Vodafone Idea,2021,4,63534.09036858,15.846082125,0.6517657503
Himachal Pradesh,Himachal Pradesh,BSNL,2021,4,3012651.0,73834.0,35.79
Himachal Pradesh,Himachal Pradesh,Bharti Airtel,2021,4,,,102.68
Himachal Pradesh,Himachal Pradesh,Bharti Airtel,2021,4,,0.0,
Himachal Pradesh,Himachal Pradesh,Bharti Airtel,2021,4,3300897.0,,
Himachal Pradesh,Himachal Pradesh,Reliance Communications,2021,4,96.0,3.0,32.29
Himachal Pradesh,Himachal Pradesh,Reliance Jio,2021,4,4180766.0,13224.0,69.05
Himachal Pradesh,Himachal Pradesh,Tata Teleservices,2021,4,,1673.0,
Himachal Pradesh,Himachal Pradesh,Vodafone Idea,2021,4,663238.0,30.0,101.51
Jammu And Kashmir,Jammu and Kashmir,BSNL,2021,4,1245096.64594152,82061.3606778,54.2087205288
Jammu And Kashmir,Jammu and Kashmir,Bharti Airtel,2021,4,,,93.8235379488
Jammu And Kashmir,Jammu and Kashmir,Bharti Airtel,2021,4,,16503.23949408,
Jammu And Kashmir,Jammu and Kashmir,Bharti Airtel,2021,4,5410148.66415468,,
Jammu And Kashmir,Jammu and Kashmir,Reliance Communications,2021,4,0.0,0.0,
Jammu And Kashmir,Jammu and Kashmir,Reliance Jio,2021,4,4544921.92595628,84085.13986896,76.1289195012
Jammu And Kashmir,Jammu and Kashmir,Tata Teleservices,2021,4,,0.0,
Jammu And Kashmir,Jammu and Kashmir,Vodafone Idea,2021,4,487968.47397408,0.0,83.4552153648
Jharkhand,Bihar,BSNL,2021,4,1382889.14401448,31199.830942448,11.78632473284
Jharkhand,Bihar,Bharti Airtel,2021,4,,,24.3402765767
Jharkhand,Bihar,Bharti Airtel,2021,4,8696475.93572962,,
Jharkhand,Bihar,Reliance Communications,2021,4,37.057860532,4.572073702,26.1811378304
Jharkhand,Bihar,Reliance Jio,2021,4,7860202.26633505,26808.233833948,22.32134508408
Jharkhand,Bihar,Tata Teleservices,2021,4,,1801.397038588,
Jharkhand,Bihar,Vodafone Idea,2021,4,2889399.46059638,418.70569692,20.54545540404
Karnataka,Karnataka,BSNL,2021,4,7152543.0,719529.0,51.36
Karnataka,Karnataka,Bharti Airtel,2021,4,,,93.43
Karnataka,Karnataka,Bharti Airtel,2021,4,,796810.0,
Karnataka,Karnataka,Bharti Airtel,2021,4,30372948.0,,
Karnataka,Karnataka,Reliance Communications,2021,4,1757.0,25557.0,80.19
Karnataka,Karnataka,Reliance Jio,2021,4,21797029.0,272502.0,74.59
Karnataka,Karnataka,Tata Teleservices,2021,4,,249066.0,
Karnataka,Karnataka,Vodafone Idea,2021,4,9094320.0,88462.0,86.71
Kerala,Kerala,BSNL,2021,4,10867138.6544908,1015032.00989935,66.72122945215
Kerala,Kerala,Bharti Airtel,2021,4,,,101.69373326671
Kerala,Kerala,Bharti Airtel,2021,4,,67465.792461444,
Kerala,Kerala,Bharti Airtel,2021,4,6800422.33014223,,
Kerala,Kerala,Reliance Communications,2021,4,447.137035072,5455.471057374,50.79197257771
Kerala,Kerala,Reliance Jio,2021,4,10319457.6670994,75212.840823562,70.43406376123
Kerala,Kerala,Tata Teleservices,2021,4,,18974.379852129,
